ad;year;month;atfm_arrivals;total_delay;atc_delay;atc_other_delay;weather_delay;other_delay;last_entry;last_update
EDDB;2008;5;2856;872;0;0;0;872;5-31-2008;9-5-12 19:46
EDDF;2008;5;21259;33189;10061;0;23128;0;5-31-2008;9-5-12 19:46
EDDH;2008;5;7200;700;700;0;0;0;5-30-2008;9-5-12 19:45
EDDK;2008;5;6335;1094;0;0;1094;0;5-30-2008;9-5-12 19:45
EDDL;2008;5;10073;31015;18241;346;8587;3841;5-31-2008;9-5-12 19:46
EDDM;2008;5;19146;13170;0;0;13170;0;5-30-2008;9-5-12 19:45
EDDN;2008;5;2675;0;0;0;0;0;;
EDDP;2008;5;2735;0;0;0;0;0;;
EDDS;2008;5;6582;11;0;0;11;0;5-31-2008;9-5-12 19:46
EDDV;2008;5;3563;0;0;0;0;0;;
EETN;2008;5;1725;0;0;0;0;0;;
EFHK;2008;5;8227;592;529;0;0;63;5-31-2008;9-5-12 19:46
EGBB;2008;5;4929;0;0;0;0;0;;
EGCC;2008;5;9546;2044;0;0;0;2044;5-22-2008;9-5-12 19:40
EGGD;2008;5;3110;207;0;0;0;207;5-24-2008;9-5-12 19:42
EGGW;2008;5;5495;621;0;0;621;0;5-26-2008;9-5-12 19:43
EGKK;2008;5;11938;4439;506;0;3016;917;5-31-2008;9-5-12 19:46
EGLC;2008;5;4131;36444;24502;0;11942;0;5-30-2008;9-5-12 19:45
EGLL;2008;5;20649;76826;22582;0;47973;6271;5-31-2008;9-5-12 19:46
EGNT;2008;5;2758;0;0;0;0;0;;
EGPD;2008;5;3085;0;0;0;0;0;;
EGPF;2008;5;4369;0;0;0;0;0;;
EGPH;2008;5;5501;1126;0;0;1126;0;5-28-2008;9-5-12 19:44
EGSS;2008;5;8761;1573;246;963;364;0;5-29-2008;9-5-12 19:45
EHAM;2008;5;20175;40731;3422;32453;4856;0;5-31-2008;9-5-12 19:46
EIDW;2008;5;9348;10434;7285;0;1335;1814;5-30-2008;9-5-12 19:45
EKCH;2008;5;11850;6441;5970;0;471;0;5-28-2008;9-5-12 19:44
ELLX;2008;5;2614;0;0;0;0;0;;
ENBR;2008;5;3423;0;0;0;0;0;;
ENGM;2008;5;10261;0;0;0;0;0;;
ENVA;2008;5;2199;0;0;0;0;0;;
ENZV;2008;5;2834;0;0;0;0;0;;
EPWA;2008;5;6462;3870;2286;0;0;1584;5-29-2008;9-5-12 19:45
ESGG;2008;5;3006;70;0;33;37;0;5-16-2008;9-5-12 19:37
ESSA;2008;5;10387;650;0;289;361;0;5-21-2008;9-5-12 19:40
EVRA;2008;5;2240;0;0;0;0;0;;
EYVI;2008;5;1756;0;0;0;0;0;;
GCLP;2008;5;4507;27;27;0;0;0;5-4-2008;9-5-12 19:30
GCTS;2008;5;2068;0;0;0;0;0;;
GCXO;2008;5;2711;0;0;0;0;0;;
LBSF;2008;5;2120;0;0;0;0;0;;
LCLK;2008;5;2373;2795;2795;0;0;0;5-28-2008;9-5-12 19:44
LDZA;2008;5;1753;0;0;0;0;0;;
LEAL;2008;5;3750;590;590;0;0;0;5-31-2008;9-5-12 19:46
LEBB;2008;5;2323;96;0;96;0;0;5-26-2008;9-5-12 19:43
LEBL;2008;5;14205;7218;521;4558;771;1368;5-30-2008;9-5-12 19:45
LEIB;2008;5;2579;3234;3234;0;0;0;5-31-2008;9-5-12 19:46
LEMD;2008;5;20427;29039;18022;1759;9258;0;5-31-2008;9-5-12 19:46
LEMG;2008;5;5633;0;0;0;0;0;;
LEPA;2008;5;10160;9402;3421;0;5981;0;5-30-2008;9-5-12 19:45
LEVC;2008;5;3638;282;0;0;0;282;5-19-2008;9-5-12 19:38
LEZL;2008;5;2312;0;0;0;0;0;;
LFLL;2008;5;5526;11008;5064;0;5178;766;5-31-2008;9-5-12 19:46
LFMN;2008;5;7108;2954;1784;0;36;1134;5-27-2008;9-5-12 19:43
LFPG;2008;5;24619;20630;9725;0;10905;0;5-31-2008;9-5-12 19:46
LFPO;2008;5;10079;11830;739;3725;7357;9;5-30-2008;9-5-12 19:45
LFSB;2008;5;2945;113;0;113;0;0;5-22-2008;9-5-12 19:40
LGAV;2008;5;8543;3918;3918;0;0;0;5-31-2008;9-5-12 19:46
LHBP;2008;5;5049;213;0;213;0;0;5-18-2008;9-5-12 19:38
LICC;2008;5;2489;0;0;0;0;0;;
LIMC;2008;5;8473;1558;0;1389;169;0;5-20-2008;9-5-12 19:39
LIME;2008;5;2772;2636;478;0;2158;0;5-30-2008;9-5-12 19:45
LIML;2008;5;5763;385;0;0;363;22;5-31-2008;9-5-12 19:46
LIPE;2008;5;2711;1649;0;1649;0;0;5-30-2008;9-5-12 19:45
LIPZ;2008;5;3640;36045;127;0;33;35885;5-31-2008;9-5-12 19:46
LIRF;2008;5;15773;27069;11147;0;14605;1317;5-31-2008;9-5-12 19:46
LIRN;2008;5;3252;209;209;0;0;0;5-29-2008;9-5-12 19:45
LJLJ;2008;5;1880;0;0;0;0;0;;
LKPR;2008;5;7735;2939;2608;0;331;0;5-27-2008;9-5-12 19:43
LMML;2008;5;1467;0;0;0;0;0;;
LOWW;2008;5;12784;47459;35686;452;7599;3722;5-31-2008;9-5-12 19:46
LPPR;2008;5;2455;359;358;0;1;0;5-23-2008;9-5-12 19:41
LPPT;2008;5;6126;2276;1385;0;475;416;5-31-2008;9-5-12 19:46
LROP;2008;5;3107;0;0;0;0;0;;
LSGG;2008;5;7611;15661;9500;0;6161;0;5-30-2008;9-5-12 19:45
LSZH;2008;5;11550;33261;18523;3983;10755;0;5-31-2008;9-5-12 19:46
